Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
India,2015.0,Malware,Education,64.29,924049.0,Nation-state,Social Engineering,VPN,5.0
Australia,,,Government,98.05,193983.0,Nation-state,Zero-day,Antivirus,31.0
Russia,2021.0,Ransomware,Telecommunications,11.04,904330.0,Nation-state,Weak Passwords,VPN,49.0
India,2018.0,SQL Injection,Education,52.05,874254.0,Nation-state,Zero-day,,11.0
Germany,2020.0,Man-in-the-Middle,Healthcare,28.81,691190.0,Nation-state,Unpatched Software,Firewall,27.0
China,2024.0,DDoS,IT,61.42,412245.0,Nation-state,Social Engineering,Encryption,48.0
France,2021.0,Man-in-the-Middle,Healthcare,53.77,302180.0,Insider,Weak Passwords,AI-based Detection,11.0
USA,2016.0,Ransomware,Government,8.21,537592.0,Nation-state,Social Engineering,Antivirus,11.0
Brazil,2022.0,SQL Injection,Retail,25.85,632061.0,Nation-state,Zero-day,Antivirus,2.0
Brazil,2015.0,DDoS,Retail,67.52,224815.0,,Social Engineering,Firewall,32.0
India,2022.0,DDoS,IT,23.91,169310.0,Unknown,Weak Passwords,Encryption,36.0
Japan,2023.0,,Telecommunications,86.98,635827.0,Nation-state,Social Engineering,Encryption,72.0
UK,2022.0,Ransomware,IT,63.67,560021.0,Unknown,Zero-day,Encryption,43.0
Japan,2021.0,Man-in-the-Middle,Government,61.03,768506.0,Nation-state,Zero-day,AI-based Detection,11.0
Australia,2018.0,Phishing,Healthcare,39.94,755469.0,Hacker Group,Social Engineering,Antivirus,58.0
,2022.0,Ransomware,Retail,74.05,205336.0,Hacker Group,Social Engineering,AI-based Detection,2.0
France,2020.0,DDoS,IT,,957779.0,Nation-state,Social Engineering,Encryption,17.0
UK,2017.0,Malware,Education,29.47,85644.0,Hacker Group,Social Engineering,AI-based Detection,3.0
France,2019.0,Man-in-the-Middle,Telecommunications,75.99,561713.0,Insider,Unpatched Software,Firewall,31.0
Germany,2017.0,Phishing,Healthcare,53.57,287762.0,Insider,,Encryption,13.0
India,2015.0,Phishing,Healthcare,76.08,471550.0,Unknown,Zero-day,VPN,5.0
Japan,2018.0,SQL Injection,IT,69.19,33209.0,,Unpatched Software,AI-based Detection,66.0
China,2017.0,Phishing,Retail,45.83,395251.0,Unknown,Unpatched Software,Encryption,33.0
Germany,2019.0,DDoS,IT,14.77,491791.0,Hacker Group,Zero-day,Encryption,66.0
Australia,2016.0,Phishing,Healthcare,53.81,279874.0,Hacker Group,Unpatched Software,AI-based Detection,66.0
France,2019.0,Malware,IT,71.94,881326.0,Insider,Unpatched Software,Firewall,43.0
UK,2023.0,DDoS,IT,68.86,749700.0,Nation-state,Zero-day,AI-based Detection,35.0
,2022.0,Phishing,Government,97.56,722445.0,Nation-state,Weak Passwords,Firewall,10.0
USA,2023.0,Ransomware,Government,84.13,695841.0,Nation-state,Zero-day,AI-based Detection,21.0
USA,2020.0,SQL Injection,Government,40.95,803757.0,Hacker Group,Social Engineering,Firewall,33.0
Japan,2022.0,DDoS,IT,20.16,174510.0,Insider,Zero-day,AI-based Detection,60.0
Germany,2022.0,SQL Injection,Retail,11.51,,Hacker Group,Zero-day,VPN,37.0
UK,2020.0,SQL Injection,Banking,47.67,729265.0,Unknown,Zero-day,Firewall,42.0
India,2023.0,Phishing,Retail,38.89,836604.0,Hacker Group,Unpatched Software,AI-based Detection,44.0
China,2016.0,Malware,Government,91.69,885843.0,Insider,Unpatched Software,AI-based Detection,46.0
France,2015.0,Man-in-the-Middle,Education,17.94,808798.0,Unknown,Social Engineering,Encryption,60.0
Russia,2018.0,Man-in-the-Middle,Telecommunications,30.5,401208.0,Hacker Group,Unpatched Software,VPN,
Japan,2021.0,Ransomware,Healthcare,77.33,380970.0,Nation-state,Weak Passwords,Encryption,44.0
USA,2021.0,Phishing,Healthcare,70.03,248437.0,Hacker Group,Social Engineering,Encryption,70.0
Australia,2024.0,SQL Injection,Retail,66.49,709125.0,Hacker Group,Weak Passwords,AI-based Detection,37.0
Japan,2018.0,Malware,Education,5.33,,Hacker Group,Social Engineering,Firewall,67.0
India,2020.0,Ransomware,Healthcare,10.46,32616.0,Unknown,Unpatched Software,Firewall,63.0
Australia,2017.0,Phishing,Healthcare,39.3,290846.0,Unknown,Weak Passwords,Firewall,3.0
India,2023.0,DDoS,Banking,,557428.0,Insider,Unpatched Software,VPN,38.0
Japan,2015.0,DDoS,Banking,59.13,182440.0,Insider,Zero-day,Firewall,8.0
Australia,2021.0,DDoS,Government,30.24,292383.0,Insider,Social Engineering,Encryption,71.0
France,2017.0,DDoS,Government,86.82,99728.0,Nation-state,Unpatched Software,VPN,44.0
USA,2015.0,DDoS,IT,66.39,365006.0,Insider,Weak Passwords,VPN,47.0
Russia,2019.0,Ransomware,Telecommunications,61.11,605427.0,Nation-state,Zero-day,Encryption,33.0
USA,2022.0,Malware,Retail,,864358.0,Hacker Group,Unpatched Software,VPN,11.0
USA,2016.0,Ransomware,Retail,9.82,610968.0,Unknown,Unpatched Software,Antivirus,26.0
China,2016.0,DDoS,IT,67.28,413150.0,Hacker Group,Social Engineering,Firewall,27.0
USA,2017.0,Malware,Education,13.14,681956.0,Nation-state,Social Engineering,Antivirus,35.0
Australia,2016.0,Man-in-the-Middle,IT,84.46,94162.0,Unknown,Weak Passwords,Firewall,15.0
France,2023.0,Man-in-the-Middle,Retail,9.43,565002.0,Hacker Group,Unpatched Software,Firewall,72.0
,2017.0,Phishing,Retail,90.69,275185.0,Nation-state,Zero-day,Encryption,20.0
Russia,2021.0,DDoS,Retail,37.47,476758.0,Hacker Group,Unpatched Software,AI-based Detection,19.0
USA,2024.0,SQL Injection,Banking,7.2,312607.0,Hacker Group,Weak Passwords,Antivirus,24.0
Russia,2017.0,Phishing,Banking,94.15,963192.0,Hacker Group,Weak Passwords,VPN,7.0
Australia,2015.0,Malware,Healthcare,42.15,680874.0,Unknown,Zero-day,Antivirus,8.0
,2018.0,DDoS,Government,15.71,904770.0,Hacker Group,Social Engineering,Antivirus,4.0
USA,2022.0,SQL Injection,Government,98.46,429452.0,Hacker Group,Weak Passwords,Antivirus,6.0
USA,2018.0,Ransomware,Healthcare,51.71,858128.0,Hacker Group,Social Engineering,Antivirus,35.0
China,2021.0,Malware,Education,42.26,615849.0,Nation-state,Unpatched Software,Encryption,44.0
UK,2019.0,Phishing,Education,99.45,467349.0,Nation-state,Zero-day,Firewall,44.0
France,2021.0,SQL Injection,Retail,63.74,235418.0,Nation-state,Weak Passwords,Encryption,28.0
Australia,2017.0,SQL Injection,IT,5.05,823606.0,Insider,Weak Passwords,Encryption,25.0
China,2020.0,SQL Injection,IT,89.38,923489.0,Nation-state,Unpatched Software,Firewall,66.0
USA,2024.0,Phishing,IT,58.57,630793.0,Hacker Group,Social Engineering,AI-based Detection,64.0
France,2015.0,SQL Injection,Education,65.83,691903.0,Unknown,Zero-day,VPN,54.0
UK,2019.0,Phishing,Government,79.79,133632.0,Hacker Group,Weak Passwords,Firewall,8.0
Australia,2017.0,Phishing,,90.5,42278.0,Insider,Weak Passwords,AI-based Detection,
Germany,2016.0,Phishing,IT,2.1,176471.0,Unknown,Zero-day,VPN,9.0
India,2015.0,SQL Injection,Telecommunications,63.72,916516.0,Hacker Group,Social Engineering,Encryption,68.0
Japan,2023.0,SQL Injection,Government,87.8,510002.0,Hacker Group,Social Engineering,Firewall,62.0
UK,2015.0,Malware,IT,82.45,435994.0,Nation-state,Unpatched Software,Encryption,51.0
India,2016.0,Ransomware,IT,66.19,,Hacker Group,Unpatched Software,Encryption,55.0
Russia,2022.0,Malware,Banking,39.62,850339.0,Hacker Group,Social Engineering,Firewall,50.0
Japan,2021.0,DDoS,Government,35.46,937562.0,Unknown,Zero-day,Firewall,10.0
France,2020.0,Malware,Government,10.62,405267.0,Nation-state,Unpatched Software,AI-based Detection,5.0
China,2022.0,DDoS,Government,,346279.0,Unknown,Zero-day,Encryption,59.0
Brazil,2016.0,DDoS,Telecommunications,10.45,889928.0,Nation-state,Zero-day,Encryption,63.0
France,2018.0,SQL Injection,Healthcare,0.95,376206.0,Unknown,Unpatched Software,Antivirus,44.0
India,2018.0,Ransomware,IT,27.14,227433.0,Unknown,Unpatched Software,Antivirus,13.0
Germany,2023.0,Ransomware,Healthcare,54.79,393779.0,Nation-state,Weak Passwords,Encryption,39.0
Russia,2022.0,Ransomware,IT,41.08,529025.0,Insider,Unpatched Software,AI-based Detection,42.0
Brazil,2024.0,Man-in-the-Middle,Education,8.94,451311.0,Unknown,Weak Passwords,Encryption,14.0
India,2017.0,Ransomware,Education,98.11,677198.0,Unknown,Social Engineering,VPN,28.0
Russia,2024.0,Man-in-the-Middle,Healthcare,9.4,480988.0,Nation-state,Unpatched Software,Encryption,59.0
Australia,2015.0,Ransomware,Telecommunications,46.39,605536.0,Nation-state,Unpatched Software,VPN,61.0
Brazil,2018.0,Ransomware,Banking,30.61,910960.0,Nation-state,Social Engineering,Antivirus,31.0
China,2018.0,Ransomware,Banking,43.98,386308.0,Nation-state,Weak Passwords,Antivirus,3.0
Australia,2017.0,Man-in-the-Middle,Banking,54.38,100855.0,Unknown,Social Engineering,VPN,2.0
China,2023.0,Malware,Education,23.74,317922.0,Insider,Social Engineering,Antivirus,18.0
USA,2018.0,DDoS,IT,82.13,220618.0,Unknown,Weak Passwords,Firewall,59.0
India,2015.0,Ransomware,Telecommunications,24.7,825941.0,,Unpatched Software,VPN,54.0
China,2022.0,Malware,Education,60.9,331234.0,Unknown,Social Engineering,Antivirus,3.0
China,2020.0,Man-in-the-Middle,Telecommunications,14.61,855055.0,Hacker Group,Unpatched Software,Antivirus,59.0
Japan,2022.0,DDoS,Telecommunications,34.31,305329.0,Unknown,Unpatched Software,Firewall,40.0
Japan,2020.0,Phishing,Government,32.39,442923.0,Nation-state,Social Engineering,Encryption,57.0
UK,,Ransomware,Banking,79.3,,Unknown,Social Engineering,Firewall,15.0
China,2020.0,Malware,Healthcare,,240532.0,Insider,Weak Passwords,Encryption,64.0
USA,2016.0,DDoS,Healthcare,93.14,947960.0,Nation-state,Weak Passwords,,55.0
Brazil,2018.0,Malware,Healthcare,52.87,437283.0,Insider,Zero-day,Antivirus,30.0
China,2019.0,Malware,Healthcare,29.61,761390.0,Insider,Weak Passwords,Antivirus,7.0
France,2019.0,Phishing,Retail,25.75,998507.0,Insider,,AI-based Detection,15.0
India,2017.0,DDoS,Retail,82.17,593329.0,Hacker Group,Unpatched Software,AI-based Detection,62.0
UK,2019.0,Phishing,Banking,60.07,197590.0,Insider,Zero-day,Encryption,62.0
Japan,2017.0,Ransomware,Banking,50.75,53111.0,Hacker Group,Social Engineering,Antivirus,15.0
Australia,2017.0,Phishing,Retail,14.88,69641.0,Hacker Group,Unpatched Software,Firewall,54.0
Germany,2022.0,DDoS,IT,73.98,953770.0,Insider,Weak Passwords,Firewall,54.0
Japan,2023.0,SQL Injection,Retail,42.33,643549.0,Nation-state,Weak Passwords,VPN,20.0
Brazil,2022.0,Man-in-the-Middle,Education,77.98,899279.0,Insider,Zero-day,Firewall,39.0
,2016.0,Ransomware,Education,8.55,857887.0,Unknown,Social Engineering,Firewall,44.0
Russia,2016.0,Phishing,Government,30.57,503775.0,Unknown,Zero-day,VPN,71.0
Japan,2015.0,SQL Injection,IT,36.98,452892.0,Unknown,Weak Passwords,VPN,17.0
Russia,2018.0,Ransomware,Healthcare,24.06,327566.0,Unknown,,AI-based Detection,6.0
Australia,2018.0,Ransomware,Education,50.66,851204.0,Insider,Zero-day,Firewall,3.0
UK,2017.0,Man-in-the-Middle,Government,79.27,923309.0,Hacker Group,Unpatched Software,Firewall,29.0
Brazil,2023.0,Phishing,Banking,71.86,151590.0,Nation-state,Zero-day,Antivirus,30.0
UK,,DDoS,Education,21.01,452432.0,Nation-state,Unpatched Software,Firewall,8.0
Japan,2015.0,,Retail,95.38,769596.0,Nation-state,Weak Passwords,VPN,65.0
Germany,2022.0,Phishing,Banking,14.79,407151.0,Unknown,Weak Passwords,Antivirus,37.0
Brazil,2023.0,DDoS,IT,45.97,312555.0,Nation-state,Social Engineering,AI-based Detection,
Brazil,2019.0,Man-in-the-Middle,Government,76.39,311908.0,Unknown,Weak Passwords,Encryption,68.0
China,2018.0,Malware,Banking,68.55,59979.0,Insider,Zero-day,Firewall,41.0
Japan,2019.0,Malware,IT,9.86,233545.0,Unknown,Zero-day,Antivirus,55.0
France,2020.0,Man-in-the-Middle,Retail,89.85,722081.0,Hacker Group,Zero-day,VPN,33.0
Russia,2024.0,SQL Injection,Healthcare,76.99,873037.0,Nation-state,Unpatched Software,Antivirus,31.0
,2022.0,Malware,IT,12.08,482213.0,Nation-state,Social Engineering,AI-based Detection,3.0
,2020.0,Phishing,Education,39.72,512850.0,Hacker Group,Zero-day,Antivirus,15.0
China,2023.0,Man-in-the-Middle,,37.73,849834.0,Hacker Group,Zero-day,,56.0
Brazil,2022.0,Malware,Retail,78.03,660707.0,Insider,Unpatched Software,Firewall,11.0
USA,2021.0,Ransomware,Education,6.77,697935.0,,Social Engineering,AI-based Detection,16.0
Russia,2019.0,Malware,IT,71.92,500655.0,Nation-state,,AI-based Detection,8.0
USA,2020.0,Ransomware,IT,95.79,239343.0,Nation-state,Zero-day,VPN,63.0
China,2023.0,Phishing,Retail,90.04,143728.0,Unknown,Zero-day,AI-based Detection,57.0
USA,2020.0,Phishing,Retail,99.64,464717.0,Insider,Weak Passwords,VPN,27.0
Russia,2018.0,SQL Injection,Education,1.25,351063.0,Nation-state,Weak Passwords,Firewall,56.0
,2015.0,DDoS,Government,13.96,479025.0,Nation-state,Zero-day,Antivirus,54.0
Germany,2021.0,DDoS,Banking,,823004.0,Nation-state,Zero-day,Encryption,22.0
Russia,2021.0,DDoS,Education,18.47,394957.0,Hacker Group,Weak Passwords,Antivirus,27.0
France,2019.0,Phishing,Telecommunications,28.88,96640.0,Unknown,Social Engineering,Antivirus,60.0
Russia,2024.0,DDoS,Education,19.5,325634.0,Insider,Weak Passwords,Firewall,5.0
France,2023.0,SQL Injection,Government,29.63,662667.0,Hacker Group,Zero-day,VPN,30.0
USA,2024.0,Phishing,IT,57.24,107681.0,Unknown,Zero-day,VPN,18.0
Russia,2017.0,Phishing,Banking,3.2,982243.0,Insider,Zero-day,Encryption,6.0
Japan,2022.0,SQL Injection,,79.19,950425.0,Unknown,Social Engineering,Antivirus,54.0
Brazil,2017.0,Ransomware,Education,80.5,279808.0,Insider,Social Engineering,Antivirus,60.0
India,2024.0,SQL Injection,Telecommunications,71.2,190099.0,Unknown,Zero-day,AI-based Detection,15.0
Brazil,2019.0,Malware,Government,12.04,713035.0,Nation-state,Social Engineering,AI-based Detection,59.0
Australia,2016.0,Malware,Retail,29.05,817347.0,Nation-state,Weak Passwords,Antivirus,68.0
Germany,2023.0,Ransomware,Healthcare,28.18,707214.0,Unknown,Weak Passwords,AI-based Detection,
UK,2016.0,DDoS,Retail,,668780.0,Hacker Group,Zero-day,Firewall,33.0
Russia,2015.0,DDoS,Telecommunications,57.21,609196.0,Unknown,Social Engineering,VPN,4.0
USA,2021.0,Man-in-the-Middle,Telecommunications,83.88,980367.0,Nation-state,Unpatched Software,Firewall,3.0
Russia,2022.0,Man-in-the-Middle,IT,84.1,919858.0,Nation-state,Unpatched Software,Encryption,47.0
France,2017.0,DDoS,Healthcare,39.49,195459.0,Hacker Group,Weak Passwords,Encryption,14.0
Russia,2015.0,Man-in-the-Middle,Government,46.76,713342.0,Unknown,Weak Passwords,Encryption,36.0
UK,2019.0,DDoS,Banking,80.68,19007.0,Nation-state,Unpatched Software,VPN,29.0
China,2022.0,Ransomware,Government,86.56,,Insider,Zero-day,VPN,37.0
UK,2017.0,Malware,Government,66.25,726887.0,Hacker Group,Social Engineering,Firewall,13.0
Russia,2021.0,DDoS,IT,78.76,130413.0,Unknown,Social Engineering,Encryption,66.0
Germany,2017.0,Malware,Banking,97.68,906914.0,Hacker Group,Zero-day,AI-based Detection,15.0
China,2020.0,Ransomware,IT,14.94,557218.0,Nation-state,Zero-day,Firewall,70.0
Russia,2018.0,SQL Injection,Banking,59.29,380543.0,Unknown,Weak Passwords,VPN,26.0
UK,2022.0,Malware,Retail,39.55,337363.0,Insider,Social Engineering,VPN,2.0
China,2018.0,,IT,14.04,803086.0,Nation-state,Social Engineering,VPN,23.0
China,2024.0,Man-in-the-Middle,,63.79,195858.0,Hacker Group,Zero-day,Encryption,1.0
India,2019.0,Malware,Banking,37.03,358371.0,Insider,Weak Passwords,AI-based Detection,30.0
Australia,2019.0,Phishing,,9.12,212267.0,Insider,Zero-day,Antivirus,14.0
,2021.0,Man-in-the-Middle,Healthcare,52.04,757744.0,Nation-state,Zero-day,Antivirus,43.0
Japan,2017.0,Ransomware,Retail,59.13,747705.0,Insider,Unpatched Software,VPN,47.0
USA,2024.0,Phishing,Telecommunications,64.67,996651.0,Hacker Group,Weak Passwords,Encryption,69.0
UK,2015.0,Ransomware,Government,52.78,281905.0,Insider,Social Engineering,VPN,32.0
Brazil,2019.0,Man-in-the-Middle,Healthcare,7.44,739981.0,Unknown,Social Engineering,Antivirus,54.0
France,2016.0,SQL Injection,Telecommunications,47.19,554448.0,Hacker Group,Social Engineering,Antivirus,31.0
USA,2016.0,Ransomware,Healthcare,99.19,745103.0,Insider,Unpatched Software,Encryption,8.0
India,2015.0,DDoS,Healthcare,10.94,600279.0,Insider,Unpatched Software,AI-based Detection,16.0
Russia,2016.0,,IT,48.86,973654.0,Unknown,Unpatched Software,Encryption,23.0
China,2016.0,DDoS,Telecommunications,80.48,78123.0,Hacker Group,Social Engineering,Antivirus,50.0
UK,2015.0,Man-in-the-Middle,Government,69.96,675955.0,Insider,Zero-day,Antivirus,60.0
China,2016.0,DDoS,IT,18.96,122866.0,Insider,Unpatched Software,VPN,46.0
Russia,2018.0,Ransomware,Education,66.33,177570.0,Nation-state,Social Engineering,Encryption,72.0
France,2024.0,Man-in-the-Middle,Retail,60.4,774913.0,Unknown,Unpatched Software,Antivirus,43.0
China,2024.0,Phishing,IT,24.92,852327.0,Unknown,Zero-day,VPN,44.0
Australia,2019.0,DDoS,IT,32.06,775033.0,Hacker Group,Zero-day,Antivirus,8.0
China,2022.0,Phishing,,71.77,823093.0,Insider,Zero-day,Firewall,36.0
France,2018.0,Phishing,Government,70.59,947445.0,Insider,Social Engineering,Encryption,59.0
Japan,2018.0,DDoS,IT,75.34,972713.0,Unknown,Unpatched Software,Encryption,71.0
France,2023.0,Malware,Banking,9.99,116840.0,Unknown,Zero-day,Firewall,51.0
USA,2021.0,Ransomware,Telecommunications,91.94,710953.0,Unknown,Zero-day,Firewall,9.0
Russia,2015.0,DDoS,IT,66.09,467190.0,Nation-state,Social Engineering,AI-based Detection,25.0
Germany,2024.0,Phishing,Healthcare,66.73,540773.0,Unknown,Unpatched Software,VPN,15.0
Australia,2018.0,SQL Injection,Banking,40.11,874040.0,Unknown,Social Engineering,Firewall,6.0
Australia,2022.0,SQL Injection,Healthcare,60.71,8498.0,Nation-state,Weak Passwords,VPN,17.0
USA,2016.0,DDoS,IT,18.48,112881.0,Hacker Group,Social Engineering,VPN,32.0
Japan,2018.0,DDoS,IT,9.9,942725.0,Insider,Zero-day,VPN,56.0
France,2024.0,Phishing,Education,52.03,168684.0,Nation-state,Unpatched Software,VPN,27.0
Japan,2018.0,DDoS,Telecommunications,25.06,,Hacker Group,Social Engineering,,27.0
UK,2016.0,Phishing,Retail,13.68,144856.0,Unknown,Unpatched Software,Antivirus,13.0
Japan,2015.0,Malware,Banking,2.63,418914.0,,Unpatched Software,Firewall,53.0
Brazil,2024.0,Phishing,Retail,88.47,842945.0,Hacker Group,Weak Passwords,Firewall,67.0
,2022.0,DDoS,Government,50.04,841198.0,Unknown,Zero-day,VPN,41.0
Germany,2024.0,Phishing,Government,19.52,50054.0,Insider,Unpatched Software,Antivirus,24.0
Brazil,2020.0,DDoS,Telecommunications,4.52,52302.0,Unknown,Social Engineering,VPN,58.0
India,2015.0,Man-in-the-Middle,Banking,97.28,694308.0,Nation-state,Weak Passwords,VPN,66.0
China,2019.0,Malware,Telecommunications,62.67,520232.0,Nation-state,Weak Passwords,Encryption,53.0
Germany,,SQL Injection,,46.34,575379.0,Unknown,Zero-day,AI-based Detection,35.0
Russia,2023.0,Man-in-the-Middle,IT,26.45,850714.0,Hacker Group,Unpatched Software,Encryption,6.0
,2023.0,SQL Injection,Healthcare,14.12,403325.0,Hacker Group,Weak Passwords,AI-based Detection,35.0
Brazil,2022.0,Phishing,Education,80.99,345577.0,Insider,Unpatched Software,Encryption,4.0
,2017.0,Man-in-the-Middle,IT,30.51,428352.0,Hacker Group,Unpatched Software,Firewall,41.0
Brazil,2023.0,Phishing,Banking,69.45,852592.0,Nation-state,Zero-day,AI-based Detection,12.0
USA,2019.0,SQL Injection,Education,78.12,36804.0,Unknown,Weak Passwords,VPN,
Brazil,2020.0,Phishing,Telecommunications,92.63,725707.0,Hacker Group,Weak Passwords,AI-based Detection,9.0
Australia,2017.0,Man-in-the-Middle,Telecommunications,35.27,765929.0,Nation-state,Weak Passwords,Firewall,16.0
Russia,2017.0,Man-in-the-Middle,Retail,17.22,242574.0,Nation-state,Social Engineering,Encryption,59.0
USA,2021.0,SQL Injection,Education,45.52,838652.0,Unknown,Social Engineering,Encryption,20.0
Japan,2018.0,DDoS,Telecommunications,99.04,389405.0,Nation-state,Weak Passwords,Antivirus,53.0
Russia,2022.0,Phishing,Telecommunications,56.44,359577.0,Unknown,Zero-day,Encryption,38.0
India,2022.0,Man-in-the-Middle,Telecommunications,73.24,943689.0,Insider,Zero-day,Firewall,32.0
Brazil,2024.0,SQL Injection,Education,14.69,783795.0,Insider,Weak Passwords,AI-based Detection,43.0
Germany,2017.0,DDoS,Healthcare,72.05,263506.0,Insider,Zero-day,Encryption,49.0
Australia,2020.0,DDoS,Telecommunications,20.59,457184.0,Insider,Social Engineering,VPN,11.0
India,2019.0,SQL Injection,Banking,68.44,186842.0,Nation-state,Zero-day,VPN,40.0
UK,2018.0,DDoS,Banking,8.81,198929.0,Nation-state,Weak Passwords,AI-based Detection,41.0
Japan,2018.0,SQL Injection,Retail,51.58,65700.0,Hacker Group,Zero-day,Encryption,28.0
Brazil,2021.0,Phishing,Telecommunications,83.79,90156.0,Hacker Group,Unpatched Software,Antivirus,65.0
Australia,2015.0,DDoS,Telecommunications,14.55,470471.0,,Unpatched Software,VPN,53.0
China,2021.0,Malware,Retail,20.52,33426.0,Unknown,Social Engineering,Antivirus,16.0
Russia,2024.0,Malware,Education,83.29,143037.0,Insider,Unpatched Software,Firewall,47.0
Germany,2022.0,Ransomware,Telecommunications,79.77,151930.0,Unknown,Zero-day,Encryption,4.0
China,2018.0,Malware,Education,97.2,499651.0,Nation-state,Zero-day,Encryption,50.0
Brazil,2017.0,DDoS,Education,41.63,249211.0,Insider,Zero-day,AI-based Detection,59.0
Germany,2024.0,SQL Injection,IT,1.01,470074.0,Insider,Weak Passwords,Encryption,9.0
Japan,2015.0,Phishing,Banking,87.5,429920.0,Nation-state,Zero-day,Encryption,37.0
Australia,2019.0,SQL Injection,Healthcare,0.75,269314.0,Unknown,Social Engineering,VPN,64.0
UK,2019.0,Man-in-the-Middle,Healthcare,37.16,696199.0,Nation-state,Weak Passwords,Encryption,42.0
Russia,2020.0,Phishing,Banking,98.38,355505.0,Nation-state,Unpatched Software,AI-based Detection,35.0
Australia,2023.0,DDoS,IT,55.94,890234.0,Nation-state,Unpatched Software,VPN,53.0
Brazil,2019.0,Ransomware,Telecommunications,23.63,581616.0,Insider,Social Engineering,Encryption,1.0
China,2021.0,SQL Injection,IT,39.44,155768.0,Nation-state,Social Engineering,AI-based Detection,
Australia,2024.0,Malware,Telecommunications,83.69,824298.0,Nation-state,,Firewall,4.0
UK,2018.0,Malware,Government,28.88,212533.0,Insider,Unpatched Software,Antivirus,71.0
Brazil,2019.0,Ransomware,Banking,10.1,47737.0,Hacker Group,Social Engineering,Encryption,69.0
Brazil,2018.0,Man-in-the-Middle,IT,47.01,940513.0,Unknown,Unpatched Software,Encryption,10.0
Russia,2021.0,Man-in-the-Middle,Banking,18.66,292992.0,Insider,Zero-day,Encryption,15.0
Germany,2024.0,Malware,Telecommunications,79.72,639779.0,Nation-state,Zero-day,Antivirus,6.0
,2019.0,DDoS,Banking,29.85,949862.0,Hacker Group,Weak Passwords,Firewall,25.0
USA,2021.0,Phishing,Healthcare,0.92,260396.0,Hacker Group,Zero-day,Antivirus,16.0
Australia,2024.0,Phishing,IT,92.48,215376.0,Nation-state,Social Engineering,Firewall,18.0
France,2016.0,DDoS,Telecommunications,20.09,689397.0,Insider,Social Engineering,AI-based Detection,
Brazil,2016.0,SQL Injection,Education,16.24,238092.0,Nation-state,Zero-day,AI-based Detection,32.0
India,2019.0,Phishing,Banking,18.42,289539.0,Nation-state,Unpatched Software,Antivirus,27.0
Russia,2020.0,DDoS,Healthcare,49.02,382327.0,Insider,Zero-day,VPN,30.0
Australia,2018.0,,Government,12.43,605810.0,Unknown,Zero-day,Firewall,41.0
Australia,2019.0,DDoS,Banking,1.27,588345.0,Insider,Unpatched Software,Firewall,49.0
UK,2019.0,Phishing,Government,21.58,831367.0,Insider,Social Engineering,Antivirus,55.0
Brazil,2019.0,Man-in-the-Middle,Banking,14.64,880671.0,Hacker Group,Social Engineering,Firewall,66.0
France,2023.0,DDoS,Retail,92.32,418211.0,Insider,Unpatched Software,Encryption,39.0
France,2022.0,Man-in-the-Middle,Retail,31.4,264380.0,,Zero-day,VPN,
Brazil,2017.0,Phishing,Banking,9.25,437974.0,Hacker Group,Zero-day,Encryption,20.0
India,2021.0,Phishing,IT,37.1,713949.0,Hacker Group,Unpatched Software,Antivirus,71.0
USA,2022.0,SQL Injection,IT,,523164.0,Hacker Group,Weak Passwords,AI-based Detection,30.0
UK,2015.0,DDoS,Telecommunications,85.23,193852.0,Insider,Zero-day,VPN,54.0
UK,2024.0,DDoS,Retail,14.09,655640.0,Nation-state,Zero-day,Firewall,61.0
France,2021.0,Phishing,IT,76.02,573328.0,Insider,Zero-day,AI-based Detection,10.0
UK,2019.0,Malware,Government,46.27,798717.0,Hacker Group,Social Engineering,Encryption,10.0
Brazil,2019.0,DDoS,Telecommunications,,899413.0,Nation-state,Weak Passwords,Encryption,11.0
France,2017.0,SQL Injection,Healthcare,18.75,436009.0,Nation-state,Social Engineering,AI-based Detection,44.0
UK,2020.0,SQL Injection,Retail,56.3,142291.0,Nation-state,Weak Passwords,VPN,29.0
Germany,2019.0,Man-in-the-Middle,,64.8,276197.0,Unknown,Zero-day,Firewall,2.0
Russia,2020.0,Ransomware,IT,33.61,807918.0,Hacker Group,Social Engineering,Antivirus,37.0
France,2021.0,Man-in-the-Middle,Telecommunications,90.99,,Hacker Group,Unpatched Software,VPN,
,2015.0,Ransomware,IT,41.79,7290.0,Insider,Weak Passwords,AI-based Detection,32.0
India,2022.0,DDoS,IT,38.69,333967.0,Insider,Zero-day,Firewall,26.0
China,2020.0,Man-in-the-Middle,Education,84.4,840118.0,Hacker Group,Zero-day,Encryption,58.0
USA,2024.0,Malware,Healthcare,69.46,187312.0,Nation-state,Zero-day,VPN,58.0
Brazil,2024.0,DDoS,IT,34.46,470727.0,Unknown,Weak Passwords,Firewall,8.0
India,2023.0,Malware,Education,95.97,629490.0,Hacker Group,Zero-day,VPN,38.0
France,2021.0,SQL Injection,Government,98.76,904598.0,Hacker Group,Social Engineering,AI-based Detection,11.0
USA,2017.0,Ransomware,Education,12.59,820632.0,Unknown,Social Engineering,,65.0
Japan,2019.0,DDoS,Retail,78.78,,Insider,Weak Passwords,Firewall,7.0
